종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
더베이직하우스,2005.12.07~12.09,11,"9,000~11,000",356.38 : 1,대우증권,
우진ACT,2005.12.07~12.09,8,"6,000~8,000",429.56 : 1,교보증권,
수성,2005.12.07~12.09,3,"2,500~3,100",367.57 : 1,부국증권,
엠피씨,2005.11.30~12.02,"4,300","3,600~4,500",1193.86 : 1,교보증권,
제일연마공업(유가),2005.11.23~11.25,"5,300","5,000~6,000",508.28  : 1,대신증권,
이노칩테크놀로지,2005.11.23~11.25,"14,500","11,000~15,000",617.68 : 1,대우증권,
범우이엔지,2005.11.22~11.24,"15,200","12,000~16,000",527.38 : 1,동원증권,
화우테크놀러지,2005.11.16~11.18,"3,700","3,100~3,700",653.37 : 1,우리투자증권,
아이디에스,2005.11.16~11.18,"13,500","13,000~16,000",225.75 : 1,교보증권,
이엠따블유안테나,2005.11.15~11.17,"11,000","9,000~11,000",705.65 : 1,한화증권,
리바트(유가),2005.11.08~11.10,11,"10,000~12,000",551.50 : 1,우리증권,
자연과환경,2005.11.08~11.10,"3,700","3,000~4,000",379.96 : 1,하나증권,
루미마이크로,2005.11.07~11.09,6,"6,000~9,000",478.14 : 1,교보증권,
와토스코리아,2005.11.02~11.04,7,"6,000~9,000",457.2 : 1,sk증권,
아이피에스,2005.11.01~11.03,9,"8,000~9,000",418.68 : 1,동양증권,
대한제강(유가),2005.10.18~10.20,17,"15,000~18,000",243.5 : 1,삼성증권,
인프라웨어,2005.10.18~10.20,7,"6,000~7,000",547.94 : 1,대우증권,
성일텔레콤,2005.10.17~10.19,3,"3,600~4,000",413.30 : 1,교보증권,
두올산업,2005.10.17~10.19,1,"1,200~1,600",510.19 : 1,메리츠증권,
서린바이오사이언스,2005.10.11~10.13,10,"10,000~12,000",1044.68 : 1,대신증권,
가비아,2005.10.10~10.12,5,"6,000~7,500",503.29 : 1,교보증권,
그린소프트켐(유가),2005.10.05~10.07,11,"10,700~12,700",416.17 : 1,굿모닝신한,
에스에스씨피,2005.10.05~10.07,7,"6,000~8,000",417.05 : 1,미래에셋증권,
덕산하이메탈,2005.10.04~10.06,9,"7,500~10,000",318.1 : 1,삼성증권,
아바코,2005.09.28~09.30,"5,700","5,500~6,400",533.72 : 1,현대증권,
하나마이크론,2005.09.28~09.30,7,"6,500~8,000",435.50 : 1,대우증권,
이상네트웍스,2005.09.21~09.23,"9,500","10,000~12,000",527 : 1,현대증권,
엘오티베큠,2005.09.21~09.23,"7,700","7,000~8,500",476.78 : 1,한투증권,
참테크,2005.09.21~09.23,"9,700","11,000~13,000",362.36 : 1,교보증권,
실리샌드,2005.09.21~09.23,"4,500","4,500~5,500",273.47 : 1,한화증권,
테스텍,2005.05.09~05.10,"1,260",0,,대우증권,
금호타이어(유가),2005.02.11~02.14,13,"13,250~16,000",,대신증권,
에이블씨엔씨,2005.01.24~01.26,20,"18,000~24,000",722 : 1,미래에셋증권,
이노와이어리스,2005.01.24~01.26,13,"11,000~14,000",479 : 1,동원증권,
에이디피엔지니어링,2005.01.24~01.26,10,"10,000~10,500",550 : 1,우리증권,
이엠엘에스아이,2005.01.20~01.21,18,0,395.09:1,대우증권,
동양계전공업,2005.01.20~01.21,7,"7,000~9,000",301 : 1,교보증권,
한창산업,2005.01.19~01.21,2,"2,300~2,700",218 : 1,LG투자증권,
디이엔티,2005.01.17~01.18,4,"4,200~5,000",529:1,대우증권,
에스엔유프리시젼(유가),2005.01.12~01.14,27,"25,000~29,000",631.18:1,동원증권,
인터넷엠비씨,2005.01.11~01.13,3,"4,000~4,800",516.03:1,미래에셋,
서산,2005.01.11~01.13,12,0,161.5 : 1,미래에셋,
인프라밸리,2005.01.10~01.11,8,"10,000~12,000",404:1,교보증권,
비아이이엠티,2005.01.05~01.06,3,"3,700~4,500",455.68:1,대신증권,
손오공,2004.12.27~12.29,"9,300","9,000~11,000",,한양증권,
아이크래프트,2004.12.21~12.23,6,"6,500~8,000",,미래에셋증권,
메가스터디,2004.12.08~12.09,18,"19,000~23,000",254.03:1,굿모닝신한증권,
대주전자재료,2004.12.02~12.03,3,"3,200~4,000",120:1,한투증권,
모빌리언스,2004.12.01~12.02,4,"6,500~8,500",91:1,교보증권,
텔레칩스,2004.12.01~12.02,4,"5,000~6,000",325:1,대우증권,
넥스트인스트루먼트,2004.11.29~11.30,2,"3,200~4,100",63:1,교보증권,
